Subject,SentOn,ReceivedTime,Customer,Room,Model,Axeda S/N,Date,State,Date_JST
"TW ConnectionStatusDetection : **BMI** CENTRACARE CLINIC WOMEN & CHILDREN SMS20220286: FSX1","2024-05-12 09:21:55","2024-05-12 09:21:59.863000","**BMI** CENTRACARE CLINIC WOMEN & CHILDREN","SMS20220286: FSX1","FLUOROspeed.X1","SNB78154A796C1","2024-05-11 18:21:53.999 UTC-06:00","true","2024-05-12 09:21:53.999000"
"TW ConnectionStatusDetection : **AMEN** St Peter’s Hospital SVG4 SMS20220071: SVG4","2024-05-14 09:12:40","2024-05-14 09:12:46.722000","**AMEN** St Peter’s Hospital SVG4","SMS20220071: SVG4","DR-300","SN845924A796C1","2024-05-13 19:12:37.170 UTC-05:00","false","2024-05-14 09:12:37.170000"
"TW ConnectionStatusDetection : **AMEN** St Peter’s Hospital SVG4 SMS20220071: SVG4","2024-05-14 09:13:06","2024-05-14 09:13:11.369000","**AMEN** St Peter’s Hospital SVG4","SMS20220071: SVG4","DR-300","SN845924A796C1","2024-05-13 19:13:04.424 UTC-05:00","true","2024-05-14 09:13:04.424000"
"TW ConnectionStatusDetection : **AMEN** St Peter’s Hospital SVG4 SMS20220071: SVG4","2024-05-15 02:27:39","2024-05-15 02:27:44.599000","**AMEN** St Peter’s Hospital SVG4","SMS20220071: SVG4","DR-300","SN845924A796C1","2024-05-14 12:27:37.172 UTC-05:00","false","2024-05-15 02:27:37.172000"
"TW ConnectionStatusDetection : **AMEN** St Peter’s Hospital SVG4 SMS20220071: SVG4","2024-05-15 00:57:50","2024-05-15 00:57:54.376000","**AMEN** St Peter’s Hospital SVG4","SMS20220071: SVG4","DR-300","SN845924A796C1","2024-05-14 10:57:47.935 UTC-05:00","true","2024-05-15 00:57:47.935000"
"TW ConnectionStatusDetection : **AMEN** St Peter’s Hospital SVG4 SMS20220071: SVG4","2024-05-15 00:17:39","2024-05-15 00:17:43.830000","**AMEN** St Peter’s Hospital SVG4","SMS20220071: SVG4","DR-300","SN845924A796C1","2024-05-14 10:17:37.172 UTC-05:00","false","2024-05-15 00:17:37.172000"
"TW ConnectionStatusDetection : **AMEN** St Peter’s Hospital SVG4 SMS20220071: SVG4","2024-05-14 23:38:22","2024-05-14 23:38:27.435000","**AMEN** St Peter’s Hospital SVG4","SMS20220071: SVG4","DR-300","SN845924A796C1","2024-05-14 09:38:17.571 UTC-05:00","true","2024-05-14 23:38:17.571000"
"TW ConnectionStatusDetection : **AMEN** St Peter’s Hospital SVG4 SMS20220071: SVG4","2024-05-14 23:22:41","2024-05-14 23:22:45.714000","**AMEN** St Peter’s Hospital SVG4","SMS20220071: SVG4","DR-300","SN845924A796C1","2024-05-14 09:22:37.170 UTC-05:00","false","2024-05-14 23:22:37.170000"
"TW ConnectionStatusDetection : **AMEN** St Peter’s Hospital SVG4 SMS20220071: SVG4","2024-05-14 23:08:22","2024-05-14 23:08:27.756000","**AMEN** St Peter’s Hospital SVG4","SMS20220071: SVG4","DR-300","SN845924A796C1","2024-05-14 09:08:20.263 UTC-05:00","true","2024-05-14 23:08:20.263000"
"TW ConnectionStatusDetection : **AMEN** St Peter’s Hospital SVG4 SMS20220071: SVG4","2024-05-14 23:07:40","2024-05-14 23:07:46.021000","**AMEN** St Peter’s Hospital SVG4","SMS20220071: SVG4","DR-300","SN845924A796C1","2024-05-14 09:07:37.172 UTC-05:00","false","2024-05-14 23:07:37.172000"
"TW ConnectionStatusDetection : **CMS** NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER SMS20230158: FSX1","2024-05-15 09:04:44","2024-05-15 09:04:49.090000","**CMS** NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER","SMS20230158: FSX1","FLUOROspeed.X1","SNA6C545D23000","2024-05-14 19:04:04.201 UTC-05:00","true","2024-05-15 09:04:04.201000"
"TW ConnectionStatusDetection : **CMS** NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER SMS20230158: FSX1","2024-05-15 09:04:42","2024-05-15 09:04:47.726000","**CMS** NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER","SMS20230158: FSX1","FLUOROspeed.X1","SNA6C545D23000","2024-05-14 19:03:59.921 UTC-05:00","true","2024-05-15 09:03:59.921000"
